season,week,game_id,posteam,defteam,player_id,reception,receiving_yards,reception_rolling_3,reception_rolling_5,receiving_yards_rolling_3,receiving_yards_rolling_5,points_scored_rolling_3,points_scored_rolling_5,points_allowed_rolling_3,points_allowed_rolling_5,full_name,complete_pass_rolling_3,complete_pass_rolling_5,passing_yards_rolling_3,passing_yards_rolling_5
2021,3,2021_03_GB_SF,GB,SF,00-0023459,1.0,-4.0,,,-4.0,-4.0,,,,,Aaron Rodgers,22.0,24.0,201.0,194.0
2021,1,2021_01_GB_NO,GB,NO,00-0024243,1.0,19.0,,,19.0,19.0,,,,,Marcedes Lewis,27.666666666666668,24.4,194.0,175.4
2021,4,2021_04_PIT_GB,GB,PIT,00-0024243,1.0,7.0,,,7.0,7.0,22.666666666666668,22.666666666666668,27.666666666666668,27.666666666666668,Marcedes Lewis,27.666666666666668,23.8,267.0,231.2
2021,5,2021_05_GB_CIN,GB,CIN,00-0024243,2.0,34.0,1.0,1.0,7.333333333333333,7.333333333333333,30.666666666666668,30.666666666666668,20.666666666666668,20.666666666666668,Marcedes Lewis,21.666666666666668,21.8,254.66666666666666,222.4
2021,6,2021_06_GB_CHI,GB,CHI,00-0024243,2.0,17.0,1.3333333333333333,1.3333333333333333,20.0,20.0,27.333333333333332,24.0,22.333333333333332,24.4,Marcedes Lewis,23.333333333333332,21.4,284.3333333333333,248.2
2021,7,2021_07_WAS_GB,GB,WAS,00-0024243,3.0,31.0,1.6666666666666667,1.4,19.333333333333332,14.6,25.333333333333332,28.2,17.666666666666668,19.6,Marcedes Lewis,21.333333333333332,21.8,262.3333333333333,260.6
2021,9,2021_09_GB_KC,GB,KC,00-0024243,1.0,-1.0,2.3333333333333335,1.8,27.333333333333332,21.6,24.0,24.8,15.0,16.8,Marcedes Lewis,27.0,27.6,289.6666666666667,283.8
2021,10,2021_10_SEA_GB,GB,SEA,00-0024243,2.0,10.0,2.0,1.8,15.666666666666666,17.6,18.333333333333332,20.8,14.666666666666666,16.0,Marcedes Lewis,22.0,22.6,217.66666666666666,249.0
2021,12,2021_12_LA_GB,GB,LA,00-0024243,2.0,4.0,2.0,2.0,13.333333333333334,18.2,18.333333333333332,20.6,15.666666666666666,15.6,Marcedes Lewis,22.666666666666668,22.4,287.0,266.0
2021,14,2021_14_CHI_GB,GB,CHI,00-0024243,4.0,51.0,1.6666666666666667,2.0,4.333333333333333,12.2,28.0,23.0,20.666666666666668,19.2,Marcedes Lewis,24.666666666666668,24.6,328.0,288.4
2021,15,2021_15_GB_BAL,GB,BAL,00-0024243,3.0,40.0,2.6666666666666665,2.4,21.666666666666668,19.0,37.333333333333336,27.2,30.666666666666668,21.0,Marcedes Lewis,26.666666666666668,25.0,344.3333333333333,301.8
2021,16,2021_16_CLE_GB,GB,CLE,00-0024243,2.0,2.0,3.0,2.4,31.666666666666668,20.8,37.333333333333336,32.0,29.333333333333332,24.4,Marcedes Lewis,26.666666666666668,25.2,305.3333333333333,318.6
2022,5,2022_05_NYG_GB,GB,NYG,00-0024243,1.0,2.0,3.0,2.6,31.0,21.4,22.666666666666668,17.0,15.333333333333334,16.4,Marcedes Lewis,22.333333333333332,21.8,246.66666666666666,232.0
2022,9,2022_09_GB_DET,GB,DET,00-0024243,1.0,19.0,2.0,2.4,14.666666666666666,19.8,16.0,19.4,25.666666666666668,25.6,Marcedes Lewis,22.666666666666668,22.8,216.33333333333334,224.4
2022,10,2022_10_DAL_GB,GB,DAL,00-0024243,1.0,-1.0,1.3333333333333333,2.2,7.666666666666667,22.8,15.666666666666666,15.8,21.666666666666668,23.8,Marcedes Lewis,21.666666666666668,23.2,231.33333333333334,232.4
2022,15,2022_15_LA_GB,GB,LA,00-0024243,1.0,14.0,1.0,1.6,6.666666666666667,12.4,26.0,23.6,28.666666666666668,25.8,Marcedes Lewis,17.666666666666668,18.0,183.0,212.8
2022,16,2022_16_GB_MIA,GB,MIA,00-0024243,2.0,32.0,1.0,1.2,10.666666666666666,7.2,28.333333333333332,26.6,23.666666666666668,25.2,Marcedes Lewis,17.0,17.8,183.66666666666666,200.4
2023,4,2023_04_DEN_CHI,CHI,DEN,00-0024243,1.0,8.0,1.3333333333333333,1.2,15.0,13.2,15.666666666666666,14.0,35.333333333333336,35.2,Marcedes Lewis,22.666666666666668,21.4,263.6666666666667,259.2
2023,7,2023_07_LV_CHI,CHI,LV,00-0024243,1.0,16.0,1.3333333333333333,1.2,18.0,14.4,27.0,21.6,23.333333333333332,27.6,Marcedes Lewis,4.666666666666667,4.0,67.33333333333333,73.2
2023,14,2023_14_DET_CHI,CHI,DET,00-0024243,1.0,4.0,1.3333333333333333,1.2,18.666666666666668,13.8,18.0,16.8,18.0,21.6,Marcedes Lewis,22.666666666666668,23.4,260.3333333333333,277.2
2023,16,2023_16_ARI_CHI,CHI,ARI,00-0024243,1.0,1.0,1.0,1.2,9.333333333333334,14.8,19.0,19.8,14.333333333333334,17.4,Marcedes Lewis,22.0,21.0,204.0,215.0
2024,6,2024_06_JAX_CHI,CHI,JAX,00-0024243,1.0,2.0,1.0,1.2,7.0,12.2,25.333333333333332,22.6,16.333333333333332,17.0,Marcedes Lewis,22.333333333333332,18.6,243.33333333333334,222.4
2021,9,2021_09_TEN_LA,TEN,LA,00-0025394,1.0,5.0,1.0,1.0,2.3333333333333335,6.2,31.666666666666668,31.2,21.666666666666668,22.2,Adrian Peterson,23.666666666666668,24.4,296.6666666666667,307.0
2021,10,2021_10_NO_TEN,TEN,NO,00-0025394,1.0,-1.0,1.0,1.0,2.6666666666666665,5.6,29.666666666666668,32.0,16.666666666666668,20.0,Adrian Peterson,21.0,19.0,226.0,218.2
2021,11,2021_11_HOU_TEN,TEN,HOU,00-0025394,2.0,4.0,1.0,1.0,2.0,2.2,28.333333333333332,29.2,22.666666666666668,20.4,Adrian Peterson,18.333333333333332,15.0,218.66666666666666,178.2
2021,1,2021_01_JAX_HOU,HOU,JAX,00-0026035,5.0,34.0,1.3333333333333333,1.2,2.6666666666666665,2.2,,,,,Danny Amendola,8.333333333333334,12.4,97.66666666666667,121.4
2021,2,2021_02_HOU_CLE,HOU,CLE,00-0026035,1.0,9.0,2.6666666666666665,2.0,12.333333333333334,8.8,,,,,Danny Amendola,13.666666666666666,11.4,175.33333333333334,135.4
2021,7,2021_07_HOU_ARI,HOU,ARI,00-0026035,3.0,17.0,2.6666666666666665,2.0,15.666666666666666,10.2,8.333333333333334,11.0,32.0,30.2,Danny Amendola,22.0,24.6,245.33333333333334,290.4
2021,8,2021_08_LA_HOU,HOU,LA,00-0026035,2.0,3.0,3.0,2.4,20.0,12.6,10.0,7.8,29.0,30.2,Danny Amendola,25.0,25.6,316.6666666666667,314.6
2021,9,2021_09_HOU_MIA,HOU,MIA,00-0026035,3.0,49.0,2.0,2.6,9.666666666666666,13.4,10.0,10.4,33.333333333333336,33.0,Danny Amendola,15.666666666666666,11.2,197.0,141.8
2021,12,2021_12_NYJ_HOU,HOU,NYJ,00-0026035,3.0,23.0,2.6666666666666665,2.8,23.0,22.4,17.666666666666668,12.2,22.666666666666668,26.0,Danny Amendola,16.0,17.0,157.33333333333334,187.6
2021,18,2021_18_TEN_HOU,HOU,TEN,00-0026035,7.0,113.0,2.6666666666666665,2.4,25.0,20.2,26.0,18.2,22.666666666666668,26.4,Danny Amendola,19.333333333333332,17.8,160.66666666666666,153.2
2021,1,2021_01_CHI_LA,LA,CHI,00-0026189,2.0,21.0,4.333333333333333,3.6,61.666666666666664,41.0,,,,,DeSean Jackson,3.0,7.6,30.333333333333332,81.0
2021,3,2021_03_TB_LA,LA,TB,00-0026189,3.0,120.0,4.0,3.4,52.333333333333336,41.8,,,,,DeSean Jackson,,,,
2021,4,2021_04_ARI_LA,LA,ARI,00-0026189,1.0,6.0,4.0,3.6,84.66666666666667,65.2,31.666666666666668,31.666666666666668,20.666666666666668,20.666666666666668,DeSean Jackson,22.0,13.6,314.0,191.8
2021,5,2021_05_LA_SEA,LA,SEA,00-0026189,1.0,68.0,2.0,3.2,49.0,56.6,27.0,27.0,28.333333333333332,28.333333333333332,DeSean Jackson,24.0,18.6,300.3333333333333,247.6
