season,week,game_id,home_team,away_team,home_score,away_score
2021,1,2021_01_DAL_TB,TB,DAL,31,29
2021,1,2021_01_PHI_ATL,ATL,PHI,6,32
2021,1,2021_01_PIT_BUF,BUF,PIT,16,23
2021,1,2021_01_NYJ_CAR,CAR,NYJ,19,14
2021,1,2021_01_MIN_CIN,CIN,MIN,27,24
2021,1,2021_01_SF_DET,DET,SF,33,41
2021,1,2021_01_JAX_HOU,HOU,JAX,37,21
2021,1,2021_01_SEA_IND,IND,SEA,16,28
2021,1,2021_01_ARI_TEN,TEN,ARI,13,38
2021,1,2021_01_LAC_WAS,WAS,LAC,16,20
2021,1,2021_01_CLE_KC,KC,CLE,33,29
2021,1,2021_01_MIA_NE,NE,MIA,16,17
2021,1,2021_01_GB_NO,NO,GB,38,3
2021,1,2021_01_DEN_NYG,NYG,DEN,13,27
2021,1,2021_01_CHI_LA,LA,CHI,34,14
2021,1,2021_01_BAL_LV,LV,BAL,33,27
2021,2,2021_02_NYG_WAS,WAS,NYG,30,29
2021,2,2021_02_NO_CAR,CAR,NO,26,7
2021,2,2021_02_CIN_CHI,CHI,CIN,20,17
2021,2,2021_02_HOU_CLE,CLE,HOU,31,21
2021,2,2021_02_LA_IND,IND,LA,24,27
2021,2,2021_02_DEN_JAX,JAX,DEN,13,23
2021,2,2021_02_BUF_MIA,MIA,BUF,0,35
2021,2,2021_02_NE_NYJ,NYJ,NE,6,25
2021,2,2021_02_SF_PHI,PHI,SF,11,17
2021,2,2021_02_LV_PIT,PIT,LV,17,26
2021,2,2021_02_MIN_ARI,ARI,MIN,34,33
2021,2,2021_02_ATL_TB,TB,ATL,48,25
2021,2,2021_02_DAL_LAC,LAC,DAL,17,20
2021,2,2021_02_TEN_SEA,SEA,TEN,30,33
2021,2,2021_02_KC_BAL,BAL,KC,36,35
2021,2,2021_02_DET_GB,GB,DET,35,17
2021,3,2021_03_CAR_HOU,HOU,CAR,9,24
2021,3,2021_03_WAS_BUF,BUF,WAS,43,21
2021,3,2021_03_CHI_CLE,CLE,CHI,26,6
2021,3,2021_03_BAL_DET,DET,BAL,17,19
2021,3,2021_03_ARI_JAX,JAX,ARI,19,31
2021,3,2021_03_LAC_KC,KC,LAC,24,30
2021,3,2021_03_NO_NE,NE,NO,13,28
2021,3,2021_03_ATL_NYG,NYG,ATL,14,17
2021,3,2021_03_CIN_PIT,PIT,CIN,10,24
2021,3,2021_03_IND_TEN,TEN,IND,25,16
